"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
72,"NCT04136093","Diet for the Maintenance of Weight Loss and Metabolic Health in Obese Postmenopausal Women","WELCOME","Unknown status","No Results Available","Metabolic Syndrome|Diet Modification|Postmenopause","Other: the MED|Other: the DASH|Other: Control diet","Changes in body weight [kg]|Changes in waist circumferences (WC) [cm]|Changes in fat mass [kg]|Changes in HDL cholesterol [mg/dL]|changes in triglycerides (TG) [mg/dL]|changes in glucose (GLU)|Changes in systolic blood pressure (SBP)|Changes in diastolic blood pressure (DBP)|Physical activity level (PAL)|Eating behaviour (by measurement of dietary restraint, disinhibition and hunger)|Adherence to the prescribed diets (assessment of the plasma AR levels and concentration and fatty acids in red blood cells)|Dietary intake","Poznan University of Life Sciences","Female","50 Years to 65 Years   (Adult, Older Adult)","Not Applicable","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Basic Science","445446","February 29, 2020","May 2022","September 2022","October 23, 2019",,"April 9, 2020","Poznan University of Life Science, Poznań, Poland",,"https://ClinicalTrials.gov/show/NCT04136093"
73,"NCT00420342","Effects of Angeliq and Prempro on Blood Pressure and Sodium Sensitivity in Postmenopausal Women With Prehypertension",,"Completed","Has Results","Postmenopause|Hypertension|Pre-Hypertension","Drug: Drospirenone/17ß-estradiol (Angeliq, BAY86-4891)|Drug: SH K 00641 C - Medroxyprogesterone acetate / conjugated equine (Prempro TM)","Change From Baseline to Week 8 in Mean 24-hour SBP From the Ambulatory Blood Pressure Monitoring (ABPM) Measurements in Full Analysis Set (FAS) Population|Change From Baseline to Week 8 in Mean 24-hour SBP From the ABPM Measurements in Per Protocol Population|Change From Baseline to Week 8 in Mean 24-hour DBP From the ABPM Measurements|Change From Baseline to Week 8 in Office Cuff SBP and DBP at Trough|Change From Baseline to Week 8 in Mean Day Time, Mean Nighttime and Mean Trough SBP From the ABPM Measurements|Change From Baseline to Week 8 in Mean Day Time, Mean Nighttime and Mean Trough DBP From the ABPM Measurements|Number of Subjects Who Are Sodium Sensitive at Baseline and Week 8|Change From Baseline to Week 8 in Mean 24-hours ABPM SBP Values, Baseline Mean > 112 mmHg (Posthoc Analysis)|Change From Baseline to Week 8 in Mean 24-hours ABPM SBP Values, Baseline Mean > 116 mmHg (Posthoc Analysis)|Change From Baseline to Week 8 in Mean 24-hours ABPM SBP Values, Baseline Mean > 120 mmHg (Posthoc Analysis)|Change From Baseline to Week 8 in Mean 24-hours ABPM SBP Values, Baseline Mean > 124 mmHg (Posthoc Analysis)|Change From Baseline to Week 8 in Mean 24-hours ABPM SBP Values, Baseline Mean > 130 mmHg (Posthoc Analysis)","Bayer","Female","45 Years to 65 Years   (Adult, Older Adult)","Phase 2","92","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","91507|310522","January 2007","September 2008","September 2008","January 11, 2007","January 20, 2010","June 2, 2015","Greenbrae, California, United States|San Diego, California, United States|Daytona Beach, Florida, United States|Miami, Florida, United States|Paw Paw, Michigan, United States|Las Vegas, Nevada, United States|Philadelphia, Pennsylvania, United States|Columbia, South Carolina, United States|Arlington, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00420342"
74,"NCT01064453","Angeliq Regulatory Post Marketing Surveillance","Angeliq rPMS","Completed","No Results Available","Postmenopausal Period|Osteoporosis, Postmenopausal","Drug: E2/DRSP (Angeliq, BAY86-4891)","Adverse event collection|Improvement of menopausal symptoms","Bayer","Female","Child, Adult, Older Adult",,"4078","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","14841|AQ0710KR","June 2007","December 2012","December 2012","February 8, 2010",,"November 19, 2013","Many Locations, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT01064453"
75,"NCT00010712","Effects of Black Cohosh on Menopausal Hot Flashes",,"Completed","No Results Available","Postmenopause|Hot Flashes|Osteoporosis, Postmenopausal","Drug: Black Cohosh",,"National Center for Complementary and Integrative Health (NCCIH)","Female","45 Years to 70 Years   (Adult, Older Adult)","Phase 2",,"NIH","Interventional","Allocation: Randomized|Primary Purpose: Treatment","P50AT000090-01P3|P50AT000090-01","September 1999",,"July 2005","February 5, 2001",,"August 18, 2006","Columbia University Rosenthal Center for CAM, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00010712"
76,"NCT00574574","Effects of Anthocyanin on Skin Health and Markers of Cardiovascular Disease Risk",,"Completed","No Results Available","Cardiovascular Disease|Skin Health|Postmenopause","Dietary Supplement: anthocyanin","Measure: Evidence of significant differences in skin health parameters, between active treatment and placebo supplementation period.|Measure: Evidence of significant differences in inflammatory status, between active treatment and placebo supplementation period.","University of East Anglia|Quadram Institute Bioscience|Clinical Research and Trials Unit (Norfolk & Norwich University Hospital, UK)|Unilever R&D","Female","up to 70 Years   (Child, Adult, Older Adult)","Not Applicable","62","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","R14764|BWF008","August 2007","February 2008","February 2008","December 17, 2007",,"July 14, 2009","University of East Anglia, Norwich, Norfolk, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00574574"
77,"NCT00005515","Mutations, Hormone Therapy (HRT) and Venous Thromboembolism",,"Completed","No Results Available","Cardiovascular Diseases|Venous Thromboembolism|Postmenopause",,,"University of Washington|National Heart, Lung, and Blood Institute (NHLBI)","Female","30 Years to 89 Years   (Adult, Older Adult)",,,"Other|NIH","Observational",,"5033|R01HL060739","September 1998",,"August 2003","May 26, 2000",,"February 10, 2016",,,"https://ClinicalTrials.gov/show/NCT00005515"
78,"NCT02274571","Raising Insulin Sensitivity in Post Menopause","RISE","Completed","No Results Available","Menopause","Drug: TSEC (Tissue-selective estrogen complexes)|Other: Placebo","2-step hyperinsulinemic clamp at 90 mg/dl glucose with resting metabolic rate measure|Metabolic rate|Body Composition","Pennington Biomedical Research Center","Female","50 Years to 60 Years   (Adult)","Early Phase 1","8","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","PBRC 2014-039","September 2015","April 11, 2017","April 11, 2017","October 24, 2014",,"January 21, 2022","Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT02274571"
79,"NCT01177761","The Erlangen Fitness and Prevention Study (EFOPS).","EFOPS","Active, not recruiting","No Results Available","Osteoporosis|Osteopenia|Early Postmenopause","Procedure: physical exercise","overall-fractures (low-trauma)|Bone Mineral Density at Lumbar Spine and Proximal Femur|10-year coronary heart disease (CHD) risk|Metabolic Syndrome Z-Score","University of Erlangen-Nürnberg Medical School|Behinderten- und Versehrten-Sportverband Bayern e.V.|Netzwerk Knochengesundheit e.V.","Female","48 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","OFZ-EFOPS","October 1998","December 2023","December 2023","August 9, 2010",,"November 3, 2022","Institute of Medical Physics, University of Erlangen-Nurnberg, Erlangen, Bavaria, Germany",,"https://ClinicalTrials.gov/show/NCT01177761"
80,"NCT03116022","Use of Estriol at Distal Third of Vagina Improving Coital Pain in Post-menopause Women",,"Unknown status","No Results Available","Dyspareunia|Menopause|Sexual Dysfunction","Drug: Estriol|Drug: Distal estriol|Drug: Vaginal Gel","Improvement in pain score after estriol use|Number of participants with risk for sexual dysfunction after estriol use|Number of participants with risk for anxiety after estriol use|Number of participants with risk for depression after estriol use|Reduction of de degree of coital pain|Variation in serum levels of estriol after estriol use|Variation in serum levels of follicle-stimulating hormone after estriol use|Variation in serum levels of thyroid-stimulating hormone after estriol use|Number of participants with adverse events that are related to estriol use|Variation in blood glucose after estriol use|Variation in weight after estriol use Weight|Variation in body mass index (BMI) after estriol use","University of Sao Paulo","Female","40 Years to 65 Years   (Adult, Older Adult)","Phase 1","132","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","62443916.5.0000.5440","June 1, 2017","December 31, 2018","January 31, 2019","April 14, 2017",,"May 4, 2018","Hospital das Clínicas de Ribeirão Preto, Ribeirão Preto, SP, Brazil",,"https://ClinicalTrials.gov/show/NCT03116022"
81,"NCT03404154","Vocal in Assessment of Endometrium in Postmenopause",,"Completed","No Results Available","Postmenopausal Bleeding","Diagnostic Test: 3D ultrasound|Procedure: Dilatation and curretage","the number of participants who where diagnosed by 3D vocal to have endometrial carcinoma","Aljazeera Hospital|Kasr El Aini Hospital|om almasreen hospital ,Egypt|National Research Centre, Egypt","Female","50 Years to 80 Years   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","vocal","January 18, 2018","August 1, 2018","August 25, 2018","January 19, 2018",,"October 2, 2018","Algazeerah, Giza, Egypt",,"https://ClinicalTrials.gov/show/NCT03404154"
82,"NCT03672760","Inspiratory Muscle Training X CardioBreath App Effects On Vagal Modulation And Pulse Wave Velocity","CardioBreath","Unknown status","No Results Available","Postmenopausal Disorder|Autonomic Imbalance|Vascular Stiffness","Device: CardioBreathApp|Device: IMT PowerBreath|Device: IMT PowerBreath Placebo","Cardiovascular autonomic control by heart rate variability(HRV)|Carotid -femoral pulse wave velocity (Complior)","Instituto de Cardiologia do Rio Grande do Sul","Female","45 Years to 65 Years   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention","Cardiology","July 1, 2021","July 30, 2022","December 30, 2022","September 14, 2018",,"January 26, 2021","Cardiology Institute of Rio Grande do Sul, Pôrto Alegre, Rio Grande Do Sul, Brazil",,"https://ClinicalTrials.gov/show/NCT03672760"
83,"NCT05031702","Camelia Sinensis for Basal Metabolism and Body Composition",,"Recruiting","No Results Available","Postmenopausal Disorder","Dietary Supplement: Camellia Sinensis leaf extract|Combination Product: Placebo","Changes on energy expenditure|Changes on body composition|Changes on anthropometry|Changes on insulin resistance|Changes on carbohydrate profile|Changes on lipid profile|Changes on inflammation|Changes on incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Changes on citokine profile|Changes on plasma catecholamine profile|Changes on satiety","Azienda di Servizi alla Persona di Pavia","Female","50 Years to 70 Years   (Adult, Older Adult)","Not Applicable","32","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","0905/14122018","March 8, 2021","January 3, 2022","July 25, 2022","September 2, 2021",,"March 3, 2022","Mariangela Rondanelli, Pavia, Italy",,"https://ClinicalTrials.gov/show/NCT05031702"
84,"NCT02775448","Dose-response Study of Carduus Marianus in Centesimal Scale for Dyslipidemia in Climacteric Overweighed or Obese Women.",,"Terminated","No Results Available","Dyslipidemia|Menopause|Obesity","Drug: Carduus marianus 6cH|Drug: Carduus marianus 12cH|Drug: Carduus marianus 30cH|Drug: Placebo|Behavioral: Exercise|Other: Diet","Change from baseline level of triglycerides at 4 and 8 weeks.|Change from baseline level of total cholesterol at 4 and 8 weeks.|Change from baseline level of LDL cholesterol at 4 and 8 weeks.|Change from baseline level of HDL cholesterol at 4 and 8 weeks.|Change from baseline level of fasting glucose at 4 and 8 weeks.|Change from baseline level of glycosylated hemoglobin at 4 and 8 weeks.|Change from baseline [HOMA-IR=insulin(mU/ml) X glucose (mg/dl)/405] at 4 and 8 weeks.|Change from baseline weight (kg) at 4 and 8 weeks.|Change from baseline body mass index (Kg/m2) at 4 and 8 weeks.|Change from baseline waist circumference (cm) at 4 and 8 weeks.|Adverse events","Hospital Nacional Homeopático, Mexico|Laboratorio Similia, México","Female","40 Years to 65 Years   (Adult, Older Adult)","Phase 2","62","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HospitalNHMexico","February 2016","August 2017","September 2017","May 17, 2016",,"February 28, 2019","Hospital Nacional Homeopático, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT02775448"
85,"NCT05335317","Treatment of Vaginal Atrophy With Low Intensity Nanosecond Neodymium Laser",,"Recruiting","No Results Available","Postmenopausal Period|Vaginal Atrophy|Vaginal Prolapse","Device: Laser Treatment|Drug: Topical hormone estriol|Diagnostic Test: Сlinical blood analysis|Diagnostic Test: Сlinical urine test|Diagnostic Test: Vaginal smear|Diagnostic Test: Cervical oncocytology test.|Diagnostic Test: Extended colposcopy|Diagnostic Test: Pelvic ultrasound|Other: King's Health Questionnaire|Diagnostic Test: Vaginal Health Index|Diagnostic Test: Ultrasound investigation|Diagnostic Test: Perineometry|Diagnostic Test: Optical coherence tomography|Diagnostic Test: Biopsy|Diagnostic Test: Femoflor screen","Mean Change from Baseline of Vaginal Health Index Score|Mean Change from Baseline of Periodic Acid Schiff Reaction Percentage in Vaginal Smear|Mean Change from Baseline of Resistive Index by Doppler Sonography","MeLSyTech, Ltd","Female","40 Years to 75 Years   (Adult, Older Adult)","Not Applicable","120","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","TVALINNL-2019","April 18, 2022","April 30, 2024","June 30, 2024","April 19, 2022",,"November 10, 2022","State-Funded Healthcare Institution of the Nizhny Novgorod region ""Nizhny Novgorod Regional Clinical Hospital named after N.A. Semashko"", Nizhny Novgorod, Russian Federation",,"https://ClinicalTrials.gov/show/NCT05335317"
86,"NCT04735549","Vulvovaginal Atrophy Correction Using Neodymium Laser",,"Recruiting","No Results Available","Postmenopausal Period|Vaginal Atrophy|Female Urogenital Diseases","Device: Laser Treatment|Drug: Topical hormone estriol|Diagnostic Test: Сlinical blood analysis|Diagnostic Test: Сlinical urine test|Diagnostic Test: Vaginal smear|Diagnostic Test: Pelvic ultrasound|Other: Female Sexual Function Index|Other: The Pelvic Organ Prolapse/Urinary Incontinence Sexual Questionnaire|Other: Vulvovaginal Symptoms Questionnaire|Diagnostic Test: Vaginal Health Index|Diagnostic Test: Elastography (ultrasound investigation)|Diagnostic Test: Perineometry|Other: Visual Analogue Scale (VAS)","Mean Change from Baseline of Vaginal Health Index Score","MeLSyTech, Ltd","Female","50 Years and older   (Adult, Older Adult)","Not Applicable","120","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","VACUNL-2020","February 15, 2021","June 1, 2023","December 1, 2023","February 3, 2021",,"January 23, 2023","Federal State Budget Institution ""National Medical Research Center for Obstetrics, Gynecology and Perinatology named after Academician V.I.Kulakov"", Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04735549"
87,"NCT00420940","The Influence of Vibration on Bone Mineral Density in Women Who Have Weak Bones After Menopause",,"Completed","No Results Available","Bone Density|Osteopenia|Osteoporosis|Post-Menopause","Device: Juvent 1000 Dynamic Motion Therapy (DMT) Platform","Trabecul volumetric bone mineral density (BMD) of the lower tibia (using peripheral quantitative computed tomography; pQCT))|Total BMD of the lower tibia (using pQCT)|Cortical BMD and cortical thickness of the lower tibia (using pQCT)|Trabecular thickness, separation, and number of the lower tibia (using pQCT)|Total BMD of the distal radius (using pQCT)|Cortical BMD and cortical thickness of the distal radius (using pQCT)|Trabecular BMD and thickness, separation, and number of the distal radius (using pQCT)|BMD at the total hip (using dual x-ray absorptiometry; DXA)|BMD at the femoral neck (using DXA)|BMD lumbar spine (using DXA)|BMD at the calcaneus (using quantitative ultrasound; QUS)|Speed of sound and broadband ultrasound attenuation at the calcaneus (QUS)","University Health Network, Toronto|The Physicians' Services Incorporated Foundation","Female","Child, Adult, Older Adult","Phase 3","202","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","06-0332-AE|PSI 06-28","November 2006","December 2009","December 2009","January 11, 2007",,"April 8, 2010","University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00420940"
88,"NCT00361075","Midlife Cholesterol Study",,"Completed","No Results Available","Menopause|Postmenopause|Premenopause|Cardiovascular Disease","Drug: transdermal estradiol patch (Vivelle), oral estrogen (Estrace), progesterone (Prometrium)","LDL particle size and density|Total body adiposity (Dexa scans)|Intra-abdominal fat (CT scans)|Lipid Profile|Inflammatory Factors|Adipocytokines","Northwestern University|University of Washington","Female","47 Years to 55 Years   (Adult)","Phase 4","120","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","5K23RR016067-05","July 1998",,"May 2005","August 7, 2006",,"November 5, 2014","Northwestern University, Chicago, Illinois, United States|University of Washington, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00361075"
89,"NCT00023543","Reduction of Triglycerides in Women on Hormone Replacement Therapy",,"Completed","No Results Available","Cardiovascular Diseases|Atherosclerosis|Postmenopause|Heart Diseases","Behavioral: Diet, fat-restricted|Behavioral: Exercise","Measures of subclinical disease|Change in coronary calcium (EBCT)|Change in carotid intima media wall thickness|Change in vascular stiffness (PWV)|Change in waist circumference and weight|Change in LDL particles, triglycerides and small, medium and large LDL particles|Change in HDL particles|Change in insulin and glucose|Change in systolic blood pressure, diastolic blood pressure","University of Pittsburgh|National Heart, Lung, and Blood Institute (NHLBI)","Female","52 Years to 60 Years   (Adult)","Phase 2","508","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","981|R01HL066468-06|R01HL066468","September 2001","May 2010","May 2010","September 7, 2001",,"June 19, 2013","University of Pittsburgh, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00023543"
90,"NCT00006539","Thrombotic, Inflammatory & Gene Markers of CVD in Women",,"Completed","No Results Available","Cardiovascular Diseases|Heart Diseases|Myocardial Infarction|Postmenopause",,,"National Heart, Lung, and Blood Institute (NHLBI)","Female","50 Years to 79 Years   (Adult, Older Adult)",,,"NIH","Observational",,"952|R01HL063293","September 1999",,"August 2004","November 28, 2000",,"March 16, 2016",,,"https://ClinicalTrials.gov/show/NCT00006539"
91,"NCT00006313","Hormone Therapy Effects on CVD Risk Factors",,"Completed","No Results Available","Cardiovascular Diseases|Coronary Disease|Heart Diseases|Postmenopause",,,"National Heart, Lung, and Blood Institute (NHLBI)","Male","up to 100 Years   (Child, Adult, Older Adult)",,,"NIH","Observational","Time Perspective: Retrospective","921|R03HL062429","June 1999",,"June 2000","September 29, 2000",,"May 13, 2016",,,"https://ClinicalTrials.gov/show/NCT00006313"
92,"NCT00000598","Diet and Exercise for Elevated Risk (DEER)",,"Completed","No Results Available","Cardiovascular Diseases|Heart Diseases|Hypercholesterolemia|Postmenopause","Behavioral: diet, fat-restricted|Behavioral: exercise",,"Stanford University|National Heart, Lung, and Blood Institute (NHLBI)","All","30 Years to 64 Years   (Adult)","Phase 3",,"Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Primary Purpose: Prevention","501|R01HL045733","August 1991",,"August 1996","October 28, 1999",,"January 12, 2016",,,"https://ClinicalTrials.gov/show/NCT00000598"
93,"NCT04140240","Menopause Symptom Management in Perimenopause and Postmenopausal Period","Menopause","Completed","No Results Available","Menopause","Behavioral: intervention group","Menopause Rating Scale-MRS|The Menopause Specific Quality of Life Questionnaire-MENQOL","Akdeniz University","Female","40 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","Akd04050","January 1, 2019","February 20, 2020","March 18, 2020","October 25, 2019",,"June 11, 2020","Gülşen Ak Sözer, Antalya, Pınarbaşı Neighborhood, Turkey",,"https://ClinicalTrials.gov/show/NCT04140240"
94,"NCT05347082","Frequency of Hyperparathyroidism in Postmenopausal Osteoporosis and Its Treatment",,"Completed","No Results Available","Postmenopausal Osteoporosis|Postmenopause|Hyperparathyroidism, Secondary|Hypovitaminosis D|Hyperparathyroidism, Primary","Drug: Cholecalciferol","Number of Participants with Remission of Hyperparathyroidism|Number of Participants with Remission of Hypovitaminosis D|Change from baseline hip T score at 4 weeks|Change from baseline lumbar spine T score at 4 weeks|Change from baseline general T score at 4 weeks","Hospital Regional 1o de Octubre|Universidad Nacional Autonoma de Mexico|National Polytechnic Institute, Mexico","Female","Child, Adult, Older Adult","Not Applicable","47","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","120.2021","April 29, 2021","December 29, 2021","February 20, 2022","April 26, 2022",,"May 6, 2022","Peri-postmenopause and bone metabolism clinic. Regional Hospital October 1st ISSSTE, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT05347082"
95,"NCT00001890","Effects of Hormone Therapy on the Immune Systems of Postmenopausal Women With Chronic Infections",,"Completed","No Results Available","Atherosclerosis|Chlamydia Infections|Cytomegalovirus Infections|Pneumonia, Bacterial|Postmenopause","Drug: Estrogen therapy",,"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)","Female","Child, Adult, Older Adult","Phase 2","80","NIH","Interventional","Primary Purpose: Treatment","990100|99-H-0100","May 1999",,"March 2001","December 10, 2002",,"March 4, 2008","National Heart, Lung and Blood Institute (NHLBI), Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00001890"
96,"NCT04867109","HE4 in the Diagnostic Approach of Endometrial Cancer in Patients With Postmenopausal Bleeding","METRODEC","Recruiting","No Results Available","Endometrial Neoplasms|Postmenopause|Uterine Hemorrhage|Cancer Biomarker|CA 125 Antigen","Other: Patients with Post menopausal bleeding|Diagnostic Test: CA125 and HE4 assays","To evaluate the sensitivity of the HE4 marker in patients with postmenopausal bleeding in the diagnosis of endometrial cancer|Assess other diagnostic parameters (specificity, PPV, NPV) of HE4|Establish the optimal threshold of HE4 for the diagnosis of endometrial cancer (use of an ROC curve)|Evaluate the diagnostic capabilities of CA125 alone and in combination with HE4, as well as the REM and REM-B algorithms for the diagnosis of endometrial cancer|Establish the existence of thresholds for HE4 and/or CA125 markers predictive of disease severity (FIGO stage)|Reassess the pathological threshold value of endometrial thickness on ultrasound|Assess the relationship between endometrial thickness on ultrasound and HE4 and CA125 marker values|To evaluate the diagnostic capabilities of HE4 and CA125 in subgroups of smoking patients and patients with renal failure|Identify potential confounding factors associated with the value of the HE4 marker like treatments, comorbidities (renal insufficiency, high BMI) and others criteria that are collected in the medical files","Nantes University Hospital|Roche Diagnostics","Female","18 Years and older   (Adult, Older Adult)",,"100","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","RC21_0166","June 25, 2021","August 1, 2022","September 1, 2022","April 30, 2021",,"September 17, 2021","Saint-Nazaire Hospital, Saint-Nazaire, Loire-Atlantique, France|Vendee Hospital Center, La Roche-sur-Yon, Vendee, France",,"https://ClinicalTrials.gov/show/NCT04867109"
97,"NCT03854396","Clinical Trial on the Preventive Effect of Intravaginal Prasterone on Recurrent Urinary Tract Infections in Postmenopausal Women",,"Withdrawn","No Results Available","Recurrent Urinary Tract Infection|Postmenopause|Postmenopausal Syndrome|Postmenopausal Symptoms|Menopause","Drug: Prasterone|Drug: Placebo","Incidence of urinary tract infections (UTIs)|Mean days of antibiotic use","Olivia Cardenas-Trowers, M.D.|AMAG Pharmaceuticals, Inc.|University of Louisville","Female","18 Years and older   (Adult, Older Adult)","Phase 3","0","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention","19.0075","May 2020","February 2021","February 2021","February 26, 2019",,"June 30, 2021","University of Louisville Urogynecology at Springs Medical Center, Louisville, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT03854396"
98,"NCT00125476","Effects of Exercise Training on Diastolic Heart Function in Postmenopausal Women",,"Completed","No Results Available","Heart Failure, Congestive|Cardiovascular Diseases","Behavioral: Exercise","Diastolic function as assessed by mitral inflow filling pattern (E/A ratio) (measured at Month 6)|Pulmonary vein flow pattern|Tissue Doppler|Color M-mode mitral inflow propagation velocity|Left ventricular mass (measured at Month 6)","National Heart, Lung, and Blood Institute (NHLBI)","Female","45 Years to 75 Years   (Adult, Older Adult)","Not Applicable","215","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)","235|R21HL077165","July 2004",,,"August 1, 2005",,"October 11, 2006","The Cooper Institute, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00125476"
99,"NCT00081952","Amino Acid Therapy for Hot Flashes in Postmenopausal Women",,"Completed","No Results Available","Hot Flashes","Drug: L-norleucine",,"National Center for Complementary and Integrative Health (NCCIH)","Female","Child, Adult, Older Adult","Phase 1|Phase 2","15","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment","K23AT001709-01","October 2003","October 2007","October 2007","April 28, 2004",,"March 22, 2013","Women's Health Initiative, Buffalo, New York, United States",,"https://ClinicalTrials.gov/show/NCT00081952"
100,"NCT00006407","Sex Steroid Hormones and Risk of CHD in Women",,"Completed","No Results Available","Cardiovascular Diseases|Heart Diseases|Coronary Disease|Postmenopause|Coronary Arteriosclerosis",,,"National Heart, Lung, and Blood Institute (NHLBI)","Female","50 Years to 79 Years   (Adult, Older Adult)",,,"NIH","Observational",,"932|R01HL065531","September 2000",,"July 2004","October 13, 2000",,"March 16, 2016",,,"https://ClinicalTrials.gov/show/NCT00006407"
101,"NCT00005446","Endogenous Estrogen and Coronary Heart Disease in Women",,"Completed","No Results Available","Cardiovascular Diseases|Coronary Disease|Heart Diseases|Myocardial Infarction|Postmenopause",,,"NYU Langone Health|National Heart, Lung, and Blood Institute (NHLBI)","Female","up to 100 Years   (Child, Adult, Older Adult)",,,"Other|NIH","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","4375|R29HL052123","April 1994","March 1999",,"May 26, 2000",,"December 31, 2015",,,"https://ClinicalTrials.gov/show/NCT00005446"
102,"NCT00005185","Myocardial Infarction and Non-contraceptive Estrogen Use",,"Completed","No Results Available","Cardiovascular Diseases|Heart Diseases|Myocardial Infarction|Menopause|Postmenopause",,,"National Heart, Lung, and Blood Institute (NHLBI)","Male","up to 100 Years   (Child, Adult, Older Adult)",,,"NIH","Observational",,"1063|R01HL032174","April 1986",,"March 1990","May 26, 2000",,"May 13, 2016",,,"https://ClinicalTrials.gov/show/NCT00005185"
103,"NCT00000601","Postmenopausal Hormone Therapy in Unstable Angina",,"Completed","No Results Available","Angina, Unstable|Cardiovascular Diseases|Coronary Disease|Heart Diseases|Postmenopause","Drug: estrogen replacement therapy|Drug: estrogens|Drug: progesterone|Drug: hormone replacement therapy",,"National Heart, Lung, and Blood Institute (NHLBI)","Female","45 Years to 75 Years   (Adult, Older Adult)","Phase 3",,"NIH","Interventional","Allocation: Randomized|Masking: Double|Primary Purpose: Prevention","107|R01HL050839","July 1995",,"June 2000","October 28, 1999",,"February 18, 2016",,,"https://ClinicalTrials.gov/show/NCT00000601"
